6,Accidental Explosion (Total),9,7,0,16,7,11,0,18,87,48,0,135
,6.1 Domestic Gas Cylinder,5,1,0,6,4,5,0,9,25,35,0,60
,6.2 Industrial Boiler/,,,,,,,,,,,,
,,0,0,0,0,1,1,0,2,22,2,0,24
,Gas Cylinder Explosion,,,,,,,,,,,,
,6.3 Ammunition Explosion in,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,1,0,0,1
,Armed Forces/Police/CPMF,,,,,,,,,,,,
,6.4 Other,4,6,0,10,2,5,0,7,39,11,0,50
