15,Deaths of Women during,,,,,,,,,,,,
,,0,14,0,14,0,15,0,15,0,680,0,680
,Pregnancy (Total),,,,,,,,,,,,
,15.1 Due to Abortions,0,6,0,6,0,2,0,2,0,60,0,60
,15.2 Other than Abortions,0,8,0,8,0,13,0,13,0,620,0,620
