6,Accidental Explosion (Total),265,189,0,454,0.1
,6.1 Domestic Gas Cylinder,84,111,0,195,0.0
,6.2 Industrial Boiler/,,,,,
,,55,4,0,59,0.0
,Gas Cylinder Explosion,,,,,
,6.3 Ammunition Explosion in,,,,,
,,4,0,0,4,0.0
,Armed Forces/Police/CPMF,,,,,
,6.4 Other,122,74,0,196,0.1
