15,Deaths of Women during,,,,,,,,,,,,
,,-,263,-,263,-,12,-,12,-,0,-,0
,Pregnancy (Total),,,,,,,,,,,,
,15.1 Due to Abortions,-,17,-,17,-,0,-,0,-,0,-,0
,15.2 Other than Abortions,-,246,-,246,-,12,-,12,-,0,-,0
