15,Deaths of Women during,,,,,,,,,,,,
,,-,30,-,30,-,15,-,15,-,752,-,752
,Pregnancy (Total),,,,,,,,,,,,
,15.1 Due to Abortions,-,11,-,11,-,3,-,3,-,48,-,48
,15.2 Other than Abortions,-,19,-,19,-,12,-,12,-,704,-,704
